,precision,recall,f1-score,support
airplane,0.41725352112676056,0.474,0.4438202247191011,1000.0
automobile,0.4906054279749478,0.47,0.48008171603677224,1000.0
bird,0.27569099929128277,0.389,0.3226876814599751,1000.0
cat,0.26939970717423134,0.184,0.21865715983363043,1000.0
deer,0.36706349206349204,0.185,0.24601063829787234,1000.0
dog,0.35610932475884244,0.443,0.3948306595365419,1000.0
frog,0.3695198329853862,0.531,0.43578169881001233,1000.0
horse,0.5794066317626527,0.332,0.4221233312142403,1000.0
ship,0.4586815227483751,0.494,0.4756860857005296,1000.0
truck,0.4718526100307062,0.461,0.4663631765300961,1000.0
accuracy,0.3963,0.3963,0.3963,0.3963
macro avg,0.4055583069916677,0.3963,0.3906042372138771,10000.0
weighted avg,0.4055583069916677,0.3963,0.39060423721387716,10000.0
