Decade,TotalFaces,PagesWithFaces,TotalPages,PercentageWithFaces
1820,0,0,26,0.0
1830,1,1,54,1.8518518518518516
1840,1,1,50,2.0
1850,2,2,48,4.166666666666666
1860,4,3,48,6.25
1870,5,2,46,4.3478260869565215
1880,6,5,50,10.0
1890,1,1,52,1.9230769230769231
1900,11,9,54,16.666666666666664
1910,6,4,50,8.0
1920,21,11,110,10.0
1930,32,20,104,19.230769230769234
1940,13,10,92,10.869565217391305
1950,49,29,116,25.0
1960,44,31,166,18.67469879518072
1970,48,41,186,22.043010752688172
1980,143,106,306,34.64052287581699
1990,190,123,424,29.009433962264154
